Date,Description,Amount,Category,Account,Source,Reconciled,COA Code,Tags,Notes
2026-03-29,AMAZON DIGITAL DOWNLOADS,-3.99,Owner's Draw (Personal),Blue Business Plus Card,plaid,Yes,,,Merchant: Amazon
2026-03-30,ADP TAX ADP TAX,-7691.06,Labor,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: ADP
2026-03-30,ADP TAX,-7691.06,Labor,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: ADP
2026-03-30,SYSCO CORPORATIO PURCHASE,-1519.29,COGS,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Sysco
2026-03-30,SYSCO CORPORATIO,-1519.29,COGS,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Sysco
2026-03-30,US FOODSERVICE VENDOR PAY,-1332.31,COGS,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Foodservice Vendor
2026-03-30,US FOODSERVICE 01*621418185 *01*048463400P *260327,-1332.31,COGS,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Foodservice
2026-03-30,ADP PAY-BY-PAY PAY-BY-PAY,-291.94,Labor,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Adp Pay-by-pay Pay-by-pay
2026-03-30,ADP PAY-BY-PAY,-291.94,Labor,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Adp Pay-by-pay
2026-03-30,INTUIT * QBOOKS ONL,-123.05,Professional Services,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Qbooks Onl
2026-03-30,INTUIT *,-123.05,Technology & Software,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,Merchant: Intuit
2026-03-30,SQUARE INC SQ260330,104.52,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
2026-03-30,SQUARE INC,104.52,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
2026-03-30,SQUARE INC,10717.37,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
2026-03-30,SQUARE INC SQ260330,10717.37,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
2026-03-30,SQUARE INC,33956.68,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
2026-03-30,SQUARE INC SQ260330,33956.68,Revenue,TD BUSINESS CONVENIENCE PLUS,plaid,Yes,,,
